1,"Avenida Bartolomeu de Gusmão",33,Boqueirão,Santos,SP,11045400
2,"Rua Januário dos Santos",84,Aparecida,Santos,SP,11030560
3,"RUA JOAO DE BARROS,",97,ESTUARIO,SANTOS,SP,11025260
4,"Rua Afonso Celso de Paula Lima",21,"Ponta da Praia",Santos,SP,11030460
5,"Rua Aureliano Coutinho",91,Embaré,Santos,SP,11040241
6,"Rua Almirante Tamandaré",244,Macuco,Santos,SP,11015250
7,"Rua Nabuco de Araújo",655,Boqueirão,Santos,SP,11025010
8,"Avenida Doutor Epitácio Pessoa",316,Boqueirão,Santos,SP,11045300
9,"Rua Borges",88,Macuco,Santos,SP,11015140
10,"Avenida Doutor Bernardino de Campos",158,Pompéia,Santos,SP,11065000
11,"Rua Aureliano Coutinho",228,Embaré,Santos,SP,11040240
12,"Rua Padre Anchieta",127,Macuco,Santos,SP,11015120
13,"Rua Adolfo Lutz",171,"Ponta da Praia",Santos,SP,11025151
14,"Rua Euclides da Cunha",87,Gonzaga,Santos,SP,11065100
15,"Avenida Doutor Moura Ribeiro",37,Marapé,Santos,SP,11070061
16,"Avenida Doutor Pedro Lessa",290,Aparecida,Santos,SP,11025002
17,"Rua Campos Mello",215,"Vila Mathias",Santos,SP,11015011
18,"Rua Itanhaém",518,"Chico de Paula",Santos,SP,11085160
19,"Rua Bassim Nagib Trabulsi",43,"Ponta da Praia",Santos,SP,11030540
20,"Rua Doutor Armando de Sales Oliveira",43,Boqueirão,Santos,SP,11050070
21,"Rua Vereador Freitas Guimarães",29,"Vila Nova",Santos,SP,11013490
22,"Avenida Governador Mário Covas Júnior",68,Estuário,Santos,SP,11020300
23,"Rua Rodrigo Silva",22,Macuco,Santos,SP,11015240
24,"av dos bandeirantes,",1275,alemoa,santos,AC,11092300
25,"Rua Barão de Ramalho",80,Macuco,Santos,SP,11015320
26,"av dos bandeirantes,",1275,alemoa,santos,SP,11092300
27,"Rua Professor Alcides Luiz Alves",19,Aparecida,Santos,SP,11040310
28,"Praça República",87,Centro,Santos,SP,11013010
29,"Rua Henrique Ablas",2,"Vila Mathias",Santos,SP,11013460
30,"Rua Almirante Barroso",25,"Campo Grande",Santos,SP,11075440
31,"Avenida Doutor Bernardino de Campos",302,Pompéia,Santos,SP,11065000
32,"Rua Venâncio José Lisboa",14,"Ponta da Praia",Santos,SP,11030080
33,"Avenida Bartolomeu de Gusmão",29,Boqueirão,Santos,SP,11045400
34,"Rua Imperatriz Leopoldina",10,"Ponta da Praia",Santos,SP,11030480
35,"Rua Ricardo Pinto",37,Aparecida,Santos,SP,11035171
36,"Rua Professor Carlos Escobar",30,"Ponta da Praia",Santos,SP,11030030
37,"Rua João Pessoa",141,Centro,Santos,SP,11013001
38,"av senador feijo",648,"Vila Mathias",Santos,SP,11015540
39,"Rua Oswaldo Cruz",373,Boqueirão,Santos,SP,11045101
40,"Avenida Almirante Cochrane",1,Embaré,Santos,SP,11040001
41,"Rua Almirante Tamandaré",169,Macuco,Santos,SP,11015250
42,"Rua Sampaio Moreira",7,Embaré,Santos,SP,11040080
43,"Rua Carlos Gomes",164,Marapé,Santos,SP,11075672
44,"Rua Vinte e Oito de Setembro",219,Macuco,Santos,SP,11015110
45,"Rua Boris Kauffmann",5,"Chico de Paula",Santos,SP,11085400
46,"Rua Pedro Borges Gonçalves",72,"José Menino",Santos,SP,11065300
47,"Largo Sete de Setembro",136,"Vila Nova",Santos,SP,11013340
48,"Rua Martin Afonso",90,Centro,Santos,SP,11010060
49,"Rua República Argentina",29,Pompéia,Santos,SP,11065030
50,"Rua Liberdade",45,Boqueirão,Santos,SP,11025030
51,"Rua Euclides da Cunha",225,Pompéia,Santos,SP,11065101
52,"Praça Coração de Maria",18,"Ponta da Praia",Santos,SP,11030280
53,"Rua Professor Torres Homem",289,Boqueirão,Santos,SP,11025020
54,"Avenida Governador Mário Covas Júnior",68,Estuário,Santos,SP,11020300
55,"joao  v",2,itarare,"São Vicente",SP,11310050
56,"Avenida dos Bancários",22,"Ponta da Praia",Santos,SP,11030301
57,"Avenida Doutor Epitácio Pessoa",617,Aparecida,Santos,SP,11030601
58,"Rua Doutor Egydio Martins",123,"Ponta da Praia",Santos,SP,11030160
59,"Rua Imperatriz Leopoldina",14,"Ponta da Praia",Santos,SP,11030480
60,"Avenida Governador Mário Covas Júnior",714,Estuário,Santos,SP,11020300
61,"Rua Moema",73,"Ponta da Praia",Santos,SP,11030055
62,"Rua Doutor Batista Pereira",245,Macuco,Santos,SP,11015101
63,"Avenida Affonso Penna",s/n,Boqueirão,Santos,SP,11020000
64,"Avenida Doutor Pedro Lessa",2208,Aparecida,Santos,SP,11025002
65,"Rua Octavio Corrêa",68,Estuário,Santos,SP,11025230
66,"Avenida Siqueira Campos",121,Boqueirão,Santos,SP,11045200
67,"Rua Santos Dumont",66,Estuário,Santos,SP,11015230
68,"Rua Santos Dumont",66,Estuário,Santos,SP,11015230
69,"Rua Conselheiro Lafayette",98,Embaré,Santos,SP,11040280
70,"Rua Castro Alves",36,Embaré,Santos,SP,11040190
71,"Rua Luiz Marques Gaspar",65,Aparecida,Santos,SP,11040040
72,"Avenida Siqueira Campos",110,Macuco,Santos,SP,11015300
73,"Rua Joaquim Nabuco",90,"Vila Mathias",Santos,SP,11015460
74,"Avenida Washington Luís",203,"Vila Mathias",Santos,SP,11050201
75,"Rua Benjamin Constant",24,Embaré,Santos,SP,11040140
76,"Rua Enguaguaçu",76,"Ponta da Praia",Santos,SP,11035070
77,"Rua Rodrigo Silva",191,Macuco,Santos,SP,11015240
78,"Avenida Doutor Pedro Lessa",438,"Ponta da Praia",Santos,SP,11025000
79,"Rua Álvaro Pinto da Silva Novaes Filho",23,Caneleira,Santos,SP,11085570
80,"Avenida Rei Alberto I",57,"Ponta da Praia",Santos,SP,11030381
81,"Rua São José",85,Embaré,Santos,SP,11040201
82,"Rua Rio de Janeiro",32,"Vila Belmiro",Santos,SP,11075340
83,"Rua Inglaterra",3,"Ponta da Praia",Santos,SP,11030510
84,"Avenida Governador Mário Covas Júnior",68,Estuário,Santos,SP,11020300
85,"Rua Professor Tarquínio Silva",20,Marapé,Santos,SP,11070070
86,"Rua Dona Maria Máximo",122,"Ponta da Praia",Santos,SP,11030100
87,"Praça engenheiro jose Rebouças",4,"Ponta da Praia",Santos,SP,11030060
88,"Rua Luís de Camões",213,Encruzilhada,santos,SP,11015401
89,"av Bernardino de campos",70,Gonzaga,Santos,SP,11065200
90,"Rua João Luzo",66,Macuco,Santos,SP,11020080
91,"Rua Dom Lara",56,Boqueirão,Santos,SP,11045160
92,"Avenida Coronel Joaquim Montenegro",503,Aparecida,Santos,SP,11035001
